x,y,z,yaw
-1.1367416975762862e-05,-3.1278494490804554e-12,0.0,8.464755944438383e-07
-1.1367417157021437e-05,-3.12784960251148e-12,0.0,8.464756321145385e-07
-1.1367417338280626e-05,-3.1278497559430307e-12,0.0,8.464756699695697e-07
-1.1367417519540346e-05,-3.1278499093750427e-12,0.0,8.464757080522227e-07
-1.136741770080067e-05,-3.12785006280757e-12,0.0,8.464757464049569e-07
-1.1367417882061624e-05,-3.1278502162406428e-12,0.0,8.464757849222133e-07
-1.1367418063323128e-05,-3.12785036967418e-12,0.0,8.464758236783926e-07
-1.1367418244585219e-05,-3.1278505231082147e-12,0.0,8.464758626950826e-07
-1.1367418425847747e-05,-3.127850676542631e-12,0.0,8.464759017975565e-07
0.04114538638236524,-5.311570774222954e-05,0.0,-0.00172100925606624
